line_item_id,opportunity_id,product_id,quantity,line_amount
OLI-01,O-001,P-001,40,40000
OLI-02,O-001,P-004,2,35000
OLI-03,O-001,P-005,5,25000
OLI-04,O-002,P-005,15,75000
OLI-05,O-003,P-004,3,60000
OLI-06,O-003,P-006,30,15000
OLI-07,O-004,P-001,100,100000
OLI-08,O-004,P-002,20,50000
OLI-09,O-005,P-006,240,120000
OLI-10,O-006,P-002,32,80000
OLI-11,O-007,P-005,10,50000
OLI-12,O-008,P-004,10,200000
OLI-13,O-009,P-003,35,175000
OLI-14,O-010,P-001,125,125000
OLI-15,O-011,P-005,12,60000
OLI-16,O-011,P-006,80,40000
